title,author,first_publish_year,rating,author_encoded
海辺のカフカ,村上春樹,2001,5.0,13
The Silver Sword,Ian Serraillier,1956,4.0,1
The Sign of the Beaver,Elizabeth George Speare,1944,4.0,4
Stoner,John Williams,1965,4.35,1
Maigret Sets a Trap,Georges Simenon,1955,5.0,45
À rebours,Joris-Karl Huysmans,1900,5.0,2
Shosha,Isaac Bashevis Singer,1978,5.0,2
The Altar of the Dead,Henry James,1915,4.0,17
The Broker,John Grisham,2005,4.0,31
Blubber,Judy Blume,1972,4.0,17
Within the tides,Joseph Conrad,1915,4.0,21
Белая гвардия,Михаил Афанасьевич Булгаков,1969,4.0,3
One Shot,Lee Child,2005,5.0,24
The Kitchen God's Wife,Amy Tan,1991,5.0,4
Neverwhere,Neil Gaiman,1996,5.0,15
Black Cauldron (Chronicles of Prydain,Lloyd Alexander,1965,5.0,5
Courrier sud,Antoine de Saint-Exupéry,1929,4.0,4
Foundation and Earth,Isaac Asimov,1986,5.0,25
The Winner,David Baldacci,1997,4.0,36
Dragonfly in Amber,Diana Gabaldon,1992,5.0,3
Out of the Silent Planet,C.S. Lewis,1938,5.0,14
American Psycho,Bret Easton Ellis,1991,3.81,5
Martha Quest,Doris Lessing,1952,4.0,8
"Copper Beech, the",Maeve Binchy,1992,5.0,19
Walk Two Moons,Sharon Creech,1994,4.0,5
El capitán Alatriste,Arturo Pérez-Reverte,1996,4.0,14
Marjorie Morningstar,Herman Wouk,1955,4.0,9
The Spy Who Came in from the Cold,John le Carré,1963,5.0,16
Il gattopardo,Giuseppe Tomasi di Lampedusa,1959,4.0,1
Mr. Mercedes,Stephen King,2013,5.0,70
Gorky Park,Martin Cruz Smith,1981,5.0,6
Tar Baby,Toni Morrison,1981,5.0,10
Hotel,Arthur Hailey,1964,4.0,9
Blood sport,Dick Francis,1967,4.0,24
The Great Hunt (The Wheel of Time Book 2),Robert Jordan,1990,5.0,15
In Dubious Battle,John Steinbeck,1936,5.0,18
The Tales of Beedle the Bard,J. K. Rowling,2008,4.0,14
High Fidelity,Nick Hornby,1995,3.9,2
Death in Holy Orders,P. D. James,2001,4.0,19
Treasure,Clive Cussler,1988,4.0,35
Mistress of Mellyn,Victoria Holt,1960,4.0,23
Swimmy,Leo Lionni,1963,5.0,8
The Currents of Space,Isaac Asimov,1952,4.0,25
Interesting Times,Terry Pratchett,1994,4.0,54
Sobre héroes y tumbas,Ernesto Sabato,1961,5.0,2
Rolling Stones,O. Henry,1910,4.0,6
The knight at dawn,Mary Pope Osborne,1993,4.0,28
Divergent,Veronica Roth,2010,5.0,4
The Lost Hero,Rick Riordan,2010,5.0,18
The The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,5.0,1
Song of Susannah,Stephen King,1999,5.0,70
The Miserable Mill,Lemony Snicket,2000,5.0,14
My side of the mountain,Jean Craighead George,1959,5.0,2
Astérix en Corse,René Goscinny,1973,4.0,17
Child of the morning,Pauline Gedge,1977,5.0,1
Disclosure,Michael Crichton,1993,4.0,18
Déjà Dead,Kathy Reichs,1997,4.0,7
Marazan,Nevil Shute,1926,4.0,8
Collected short stories,William Somerset Maugham,1900,5.0,13
Kometen kommer (Kometjakten),Tove Jansson,1946,5.0,9
Forever,Judy Blume,1957,5.0,17
Devil's Cub (Alastair-Audley #2),Georgette Heyer,1932,5.0,23
A dangerous fortune,Ken Follett,1993,5.0,20
Point Blanc,Anthony Horowitz,2001,5.0,7
Robert Ludlum's The Cassandra Compact,Robert Ludlum,2001,4.0,6
Seeds of Yesterday,V. C. Andrews,1984,5.0,25
Mistress Masham's Repose,T. H. White,1946,4.0,6
A set of six,Joseph Conrad,1908,4.0,21
Raise the Titanic!,Clive Cussler,1976,5.0,35
"The Stars, Like Dust",Isaac Asimov,1951,4.0,25
細雪 (Sasameyuki),谷崎潤一郎,1944,4.0,4
The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001,4.0,54
Pyramids,Terry Pratchett,1989,5.0,54
The Watsons go to Birmingham--1963,Christopher Paul Curtis,1963,5.0,2
Skellig,David Almond,1998,4.0,1
The Summer of the Swans,Betsy Cromer Byars,1970,5.0,5
The incredulity of Father Brown,Gilbert Keith Chesterton,1920,4.0,15
The story of my life,Helen Keller,1903,5.0,1
The Summer of My German Soldier,Bette Greene,1973,5.0,2
"Then Again, Maybe I Won't",Judy Blume,1971,4.0,17
Lie Down With Lions,Ken Follett,1985,4.0,20
Love of Life and Other Stories,Jack London,1907,4.0,22
"Ayesha, the return of She",H. Rider Haggard,1900,5.0,14
Un certain sourire,Françoise Sagan,1956,4.0,3
The Cat That Walked by Himself,Rudyard Kipling,1902,4.0,21
Peter's Chair,Ezra Jack Keats,1967,4.0,3
The Last Olympian,Rick Riordan,2009,5.0,18
Ramona Forever,Beverly Cleary,1927,4.0,24
"Click, Clack, Moo Cows That Type",Doreen Cronin,1900,5.0,2
Stormbreaker,Anthony Horowitz,2000,5.0,7
Hunter x hunter,Yoshihiro Togashi,1998,5.0,1
Fall of Giants,Ken Follett,2010,4.0,20
The breaking wave,Nevil Shute,1955,5.0,8
Perelandra,C.S. Lewis,1943,4.0,14
Next,Michael Crichton,2006,5.0,18
Le lotus bleu,Hergé,1934,4.0,20
City,Clifford D. Simak,1952,5.0,3
Royal Escape,Georgette Heyer,1938,5.0,23
Astérix chez les Belges,René Goscinny,1979,4.0,17
Les Lauriers de César,René Goscinny,1972,4.0,17
C Pack,Martin Waddell,1975,4.0,4
The postman always rings twice,James M. Cain,1934,4.0,3
The Forever War,Joe Haldeman,1974,5.0,1
Eon,Greg Bear,1985,5.0,14
Fine things,Danielle Steel,1987,4.0,30
The heart of the matter,Graham Greene,1948,5.0,20
The Polar Express Gift Set,Chris Van Allsburg,1985,5.0,2
The Hollow Hills,Mary Stewart,1973,5.0,16
The bull from the sea,Mary Renault,1962,4.0,6
Beezus and Ramona,Beverly Cleary,1955,4.0,24
Notes On Life And Letters Of Joseph Conrad,Joseph Conrad,1921,5.0,21
"Gone, Baby, Gone",Dennis Lehane,1998,4.0,13
The Book Of Three,Alexander,1964,4.0,1
Another Country,James Baldwin,1962,5.0,6
Apache Devil,Edgar Rice Burroughs,1964,5.0,30
The Witch of Blackbird Pond,Elizabeth George Speare,1958,4.02,4
Unless,Carol Shields,2002,4.0,5
Anansi Boys,Neil Gaiman,2005,4.0,15
Duma Key,Stephen King,2008,4.0,70
Deathlands,James Axler,1987,5.0,1
Honeymoon,James Patterson,2001,4.0,101
The Trumpet of the Swan,E. B. White,1970,5.0,3
Where Are the Children?,Mary Higgins Clark,1975,5.0,20
Death in the Stocks,Georgette Heyer,1935,4.0,23
Tres tristes tigres,Guillermo Cabrera Infante,1965,5.0,1
Pale fire,Vladimir Nabokov,1962,5.0,13
This is my God,Herman Wouk,1959,5.0,9
The Perks of Being a Wallflower,Stephen Chbosky,1999,4.23,1
Danny and the Dinosaur,Syd Hoff,1958,5.0,3
Henry and Beezus,Beverly Cleary,1923,5.0,24
The long ships,Frans Gunnar Bengtsson,1943,4.0,1
Mannen som gick upp i rök,Maj Sjöwall,1966,4.0,10
Miss Pym disposes,Josephine Tey,1946,4.0,8
White oleander,"Fitch, Janet",1989,5.0,1
Purple Hibiscus,Chimamanda Ngozi Adichie,2003,5.0,4
Ecos Del Corazon,Maeve Binchy,1985,4.0,19
Johnny Got His Gun,Dalton Trumbo,1939,4.2,1
A Marriage Under the Terror,Patricia Wentworth,1910,5.0,6
Once upon a time,A. A. Milne,1907,5.0,10
"The box of delights, or When the wolves were running",John Masefield,1935,5.0,3
Eyeless in Gaza,Aldous Huxley,1930,4.0,10
Prelude to Foundation,Isaac Asimov,1988,4.0,25
Pebble in the Sky,Isaac Asimov,1950,4.0,25
The amateur gentleman,Jeffery Farnol,1900,5.0,4
L'isola del giorno prima,Umberto Eco,1994,5.0,8
The virgin in the ice,Edith Pargeter,1982,5.0,14
"Carry On, Jeeves",P. G. Wodehouse,1925,5.0,32
Remembrance,Danielle Steel,1920,5.0,30
Lotte in Weimar,Thomas Mann,1939,4.0,9
"Judy Moody, M.D",Megan McDonald,2004,5.0,12
鍵 (Kagi),谷崎潤一郎,1956,5.0,4
The white peacock,David Herbert Lawrence,1911,4.0,12
La Grande Traversée,René Goscinny,1975,4.0,17
Mördare utan ansikte,Henning Mankell,1993,4.0,16
Men at Arms,Terry Pratchett,1993,4.0,54
Flying finish,Dick Francis,1966,5.0,24
Reaper Man,Terry Pratchett,1991,5.0,54
Cat & Mouse,James Patterson,1997,5.0,101
Glory Road,Robert A. Heinlein,1963,4.0,28
The Vampire Lestat,Anne Rice,1986,4.0,23
Hideaway,Dean Koontz,1992,4.0,48
King of the Wind,Marguerite Henry,1948,4.0,3
Violets Are Blue,James Patterson,2001,4.0,101
Oil!,Upton Sinclair,1927,4.0,6
Phantoms,Dean Koontz,1983,4.0,48
The CIDER HOUSE RULES,John Irving,1985,4.0,3
Brisingr,Christopher Paolini,1998,4.0,3
Judy Moody Gets Famous,Megan McDonald,2001,5.0,12
A Storm of Swords,George R. R. Martin,2000,5.0,10
Mattimeo (Redwall #3),Brian Jacques,1989,5.0,15
Say Cheese and Die!,Robert Lawrence Stine,1992,4.0,33
Clear and Present Danger,Tom Clancy,1989,4.0,12
Sabriel,Garth Nix,1995,5.0,5
Entre visillos,Carmen Martín Gaite,1958,5.0,1
How the Grinch Stole Christmas!,Dr. Seuss,1957,4.38,16
Lassie Come-Home,Eric Knight,1940,4.0,1
Astérix et le Chaudron,René Goscinny,1969,4.0,17
1Q84,村上春樹,2009,4.0,13
The Wolves of Willoughby Chase (Wolves #1),Joan Aiken,1911,5.0,3
The Poisonwood Bible,Barbara Kingsolver,1998,4.1,2
Bel Canto,Ann Patchett,2001,3.94,1
A Wind in the Door (Time Quintet #2,Madeleine L'Engle,1973,5.0,7
Válka s mloky,Karel Čapek,1936,4.0,3
A Kiss for Little Bear,Else Holmelund Minarik,1958,5.0,5
The Mother,Pearl S. Buck,1900,5.0,14
Wolf Hall,Hilary Mantel,2009,4.0,6
The lion's game,Nelson De Mille,1971,4.0,16
The Cat Ate My Gymsuit,Paula Danziger,1974,5.0,9
Persuader,Lee Child,2003,5.0,24
Deathworld 1,Harry Harrison,1960,4.0,9
Looking Backward from 2000 to 1887,Edward Bellamy,1945,4.0,1
Kensuke's kingdom,Michael Morpurgo,1999,4.0,7
Forward the Foundation,Isaac Asimov,1993,5.0,25
Narziss und Goldmund,Hermann Hesse,1930,5.0,11
Peyton Place,Grace Metalious,1956,4.0,1
Judy Moody Predicts the Future,Megan McDonald,2003,5.0,12
Snow,Orhan Pamuk,2002,5.0,6
The Mermaids Singing,Val McDermid,1995,5.0,8
Go Ask Alice,Beatrice Sparks,1971,3.74,1
The Sicilian,Mario Puzo,1983,4.0,9
Le Dernier des Justes,André Schwarz-Bart,1959,5.0,1
South Wind,Norman Douglas,1917,5.0,1
Handa's Surprise,Eileen Browne,1994,5.0,1
Elric of Melniboné,Michael Moorcock,1972,5.0,1
The Robots of Dawn,Isaac Asimov,1983,4.0,25
Love and other stories [23 stories],Антон Павлович Чехов,1922,4.0,13
Lord Peter Views the Body,Dorothy L. Sayers,1928,4.0,13
Black Friday,James Patterson,1986,5.0,101
Königliche Hoheit,Thomas Mann,1909,4.0,9
Ningen shikkaku,Osamu Dazai,1948,5.0,1
The Secret Woman,Victoria Holt,1970,4.0,23
No Loger at Ease,Chinua Achebe,1960,5.0,4
The Lady in the Lake,Raymond Chandler,1943,4.0,7
The Wave,Todd Strasser,1981,5.0,1
"""A"" is for Alibi",Sue Grafton,1982,4.0,7
Une'Tete Coupee,Iris Murdoch,1961,5.0,9
The ruby in the smoke (Sally Lockhart #1),Philip Pullman,1985,5.0,13
Snow Crash,Neal Stephenson,1992,4.02,8
The Tiny Seed,Eric Carle,1970,5.0,16
Eldest,Christopher Paolini,2005,5.0,3
A Feast for Crows,George R. R. Martin,2005,4.0,10
The House with a Clock in Its Walls,John Bellairs,1973,5.0,4
Devices and Desires,P. D. James,1989,5.0,19
Камера Обскура (Kamera obskura),Vladimir Nabokov,1930,4.0,13
Paper towns,John Green,2008,5.0,6
Snow Falling on Cedars,David Guterson,1994,3.86,1
Paradiso,José Lezama Lima,1966,4.0,1
Fifteen,Beverly Cleary,1956,5.0,24
A Quiver Full of Arrows,Jeffrey Archer,1980,5.0,24
The Appeal,John Grisham,2008,4.0,31
Five Have Plenty of Fun,Enid Blyton,1955,4.0,38
Five Go to Billycock Hill,Enid Blyton,1957,5.0,38
L'île noire,Hergé,1947,4.0,20
Jeden Freitagabend,Maeve Binchy,1984,4.0,19
Lolly Willowes,Sylvia Townsend Warner,1926,4.0,1
The Snail and the Whale,Julia Donaldson,2001,5.0,14
The Family,Mario Puzo,2001,5.0,9
Fear Nothing,Dean Koontz,1997,5.0,48
El reino del dragón de oro,Isabel Allende,2003,5.0,17
King of Khyber Rifles,Talbot Mundy,1916,4.0,1
The White Feather,P. G. Wodehouse,1907,5.0,32
Desolation Island Audio,Patrick O'Brian,1978,5.0,21
"2010, odyssey two",Arthur C. Clarke,1982,5.0,12
Nights Of Rain And Stars (Larkin Family Chronicles),Maeve Binchy,2004,4.0,19
The Nightingale,Kristin Hannah,2000,4.64,7
Molloy,Samuel Beckett,1951,4.0,3
Fight Club,Chuck Palahniuk,1996,4.18,7
The Final Empire,Brandon Sanderson,2001,5.0,13
The Shape of Things to Come,H. G. Wells,1933,4.0,24
The Looking Glass War,John le Carré,1965,5.0,16
The Death of Ivan Ilych and other stories,Лев Толстой,1902,5.0,10
The Running Man,Stephen King,1982,4.0,70
The Great Train Robbery,Michael Crichton,1975,4.0,18
"Full Dark, No Stars",Stephen King,2010,5.0,70
Thud!,Terry Pratchett,2005,5.0,54
Sushi für Anfänger,Marian Keyes,2000,4.0,5
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,4.0,4
Sweet danger,Margery Allingham,1933,4.0,14
The Adventures of Elizabeth in Rügen,Elizabeth von Arnim,1904,5.0,7
Tripwire,Lee Child,1999,4.0,24
Insurgent,Veronica Roth,2011,5.0,4
The quest of the silver fleece,W. E. B. Du Bois,1911,5.0,2
Die Handschrift von Saragossa,Jan Potocki,1950,5.0,1
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,1939,5.0,4
Ready Player One,Ernest Cline,2008,5.0,2
The Graveyard Book,Neil Gaiman,2008,4.16,15
The Red Pyramid,Rick Riordan,2010,5.0,18
Ramona the Brave,Beverly Cleary,1975,5.0,24
The ranch,Danielle Steel,1997,5.0,30
Beyond This Horizon,Robert A. Heinlein,1940,5.0,28
The Paper Bag Princess (Classic Munsch),Robert N Munsch,1980,5.0,4
The Night Manager,John le Carré,1993,5.0,16
Original Sin,P. D. James,1994,5.0,19
R.U.R,Karel Čapek,1920,5.0,3
Tarzan the magnificent,Edgar Rice Burroughs,1939,4.0,30
Winnie-the-Pooh / The House at Pooh Corner,A. A. Milne,1926,5.0,10
Amazing Grace,Danielle Steel,2007,5.0,30
Recuerdos de Un Verano,Maeve Binchy,1987,4.0,19
Ensaio Sobre a Cegueira,José Saramago,1995,5.0,2
The Fifth Elephant,Terry Pratchett,1999,4.0,54
Gabriela Cravo e Canela,Jorge Leal Amado de Faria,1962,4.0,2
The Lathe of Heaven,Ursula K. Le Guin,1971,5.0,15
Now we are six,A. A. Milne,1925,5.0,10
The last of the wine,Mary Renault,1956,4.0,6
The Accidental Tourist,Anne Tyler,1985,4.0,2
Sons,Pearl S. Buck,1932,4.0,14
Speaker for the Dead,Orson Scott Card,1986,5.0,16
A dark-adapted eye,Ruth Rendell,1986,5.0,18
Shadowfires,Dean Koontz,1987,5.0,48
Honor Among Thieves,Jeffrey Archer,1993,5.0,24
We Have Always Lived in the Castle,Shirley Jackson,1962,3.92,3
Feet of Clay,Terry Pratchett,1996,5.0,54
Bonecrack,Dick Francis,1971,4.0,24
On Beauty,Zadie Smith,2005,4.0,5
Welcome to Dead House,Robert Lawrence Stine,1992,4.0,33
El bosque de los pigmeos,Isabel Allende,2004,4.0,17
Nightmares & Dreamscapes,Stephen King,1993,4.0,70
Whisky galore,Sir Compton Mackenzie,1947,4.0,1
Eric,Terry Pratchett,1990,4.0,54
The Children of Men,P. D. James,1992,5.0,19
The High King (Chronicles of Prydain),Lloyd Alexander,1968,5.0,5
Just After Sunset,Stephen King,2008,5.0,70
The Ginger Man,J. P. Donleavy,1956,4.0,1
Cause of Death,Patricia Cornwell,1995,5.0,3
O telefteos pirasmos,Nikos Kazantzakis,1901,5.0,5
Shadow in the north (Sally Lockhart #2),Philip Pullman,1986,4.0,13
The Ministry of Fear,Graham Greene,1943,5.0,20
The Thin Man,Dashiell Hammett,1934,4.0,5
Dar,Vladimir Nabokov,1923,5.0,13
Haroun and the Sea of Stories,Salman Rushdie,1990,5.0,11
Love You Forever,Robert N Munsch,1986,4.38,4
Madeline's Rescue,Ludwig Bemelmans,1900,4.0,5
House of a Thousand Lanterns,Victoria Holt,1940,5.0,23
Night of the Living Dummy,Robert Lawrence Stine,1993,5.0,33
Maniac Magee,Jerry Spinelli,1990,4.0,5
The dark tower,Stephen King,1990,4.0,70
The Song of Achilles,Madeline Miller,2011,4.31,2
The Mixed-Up Chameleon,Eric Carle,1975,5.0,16
The twenty-one balloons,William Pène Du Bois,1947,5.0,1
Smoke Bellew,Jack London,1912,4.0,22
L'amica geniale,Elena Ferrante,2011,4.0,7
Olive Kitteridge,Elizabeth Strout,2007,5.0,3
The King's Confidante,Eleanor Alice Burford Hibbert,1950,5.0,7
The Slave Dancer (Laurel-Leaf Historical Fiction),Paula Fox,1973,5.0,1
"Washington, D.C.",Gore Vidal,1967,5.0,5
The Whole Truth,David Baldacci,2008,5.0,36
Above suspicion,Helen MacInnes,1941,4.0,7
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001,3.97,15
Freckle Juice,Judy Blume,1971,4.0,17
Dark Angel,V. C. Andrews,1972,5.0,25
El camino,Miguel Delibes,1950,4.0,1
Miss Lonelyhearts,Nathanael West,1933,4.0,3
"The Little Mouse, the Ripe Red Strawberry, and the Big Hungry Bear",Audrey Wood,1945,5.0,3
Sea Swept,Nora Roberts,1968,4.0,89
Saint Peter's Fair,Edith Pargeter,1981,5.0,14
The Last Juror,John Grisham,2003,4.0,31
Cup of Gold,John Steinbeck,1929,5.0,18
The secret of Father Brown,Gilbert Keith Chesterton,1927,4.0,15
Xenocide,Orson Scott Card,1991,5.0,16
Memórias de um Sargento de Milícias,Manuel Antônio de Almeida,1925,5.0,1
Cloud Atlas,David Mitchell,2004,4.01,3
The Circle,Dave Eggers,2013,4.0,4
Stiller,Max Frisch,1954,4.0,2
The broad highway,Jeffery Farnol,1910,4.0,4
The Hammer of Eden,Ken Follett,1998,4.0,20
The Goldfinch,Donna Tartt,2013,3.96,3
Stone of Tears,Terry Goodkind,1995,4.0,12
Tod in Venedig,Thomas Mann,1925,4.0,9
V.,Thomas Pynchon,1963,4.0,5
The Getaway,Jeff Kinney,2017,5.0,12
Monstrous Regiment,Terry Pratchett,2003,5.0,54
Maskerade,Terry Pratchett,1995,5.0,54
A Man of the People,Chinua Achebe,1966,5.0,4
Fallen Hearts,V. C. Andrews,1988,5.0,25
Shardik,Richard Adams,1965,5.0,3
The gold coast,Nelson De Mille,1990,4.0,16
Skipping Christmas,John Grisham,2001,4.0,31
If Beale Street Could Talk,James Baldwin,1974,5.0,6
The hours,Michael Cunningham,1998,5.0,1
Honor Thyself,Danielle Steel,2008,5.0,30
Bad Luck and Trouble,Lee Child,1984,5.0,24
Servant of the Bones,Anne Rice,1996,4.0,23
Il fu Mattia Pascal,Luigi Pirandello,1904,4.0,1
Stone Butch Blues,Leslie Feinberg,1993,5.0,1
Valčík na rozloučenou,Milan Kundera,1976,5.0,12
Život je jinde,Milan Kundera,1973,4.0,12
Big Sur,Jack Kerouac,1962,5.0,10
Scaramouche,Rafael Sabatini,1921,4.0,5
"Bless Me, Ultima",Rudolfo A. Anaya,1972,5.0,1
Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,2000,5.0,22
The Wishing Spell,Chris Colfer,1990,5.0,3
L'affaire Saint-Fiacre,Georges Simenon,1932,4.0,45
Strega Nona,Tomie dePaola,1934,5.0,3
Mouse Soup,Arnold Lobel,1977,4.0,9
Alanna,Tamora Pierce,1954,5.0,9
Into the Wild,Erin Hunter,2003,4.02,5
Captain Underpants and the Wrath of the Wicked Wedgie Woman,Dav Pilkey,2001,5.0,22
Leo the Late Bloomer,Robert Kraus,1971,5.0,2
The end of the affair,Graham Greene,1951,5.0,20
Jacob have I loved,Katherine Paterson,1980,5.0,4
The Great Gilly Hopkins (M Books),Katherine Paterson,1978,5.0,4
The White Dragon,Anne McCaffrey,1978,4.0,25
The Ersatz Elevator,Lemony Snicket,2001,5.0,14
The Austere Academy,Lemony Snicket,2000,5.0,14
Ribsy,Beverly Cleary,1964,4.0,24
The Sword of Shannara,Terry Brooks,1976,4.0,14
Garfield,Jim Davis,1981,5.0,1
At the Foot of the Rainbow,Gene Stratton-Porter,1907,5.0,6
Mr Norris Changes Trains,Christopher Isherwood,1935,4.0,5
Where the Crawdads Sing,Delia Owens,2018,4.38,1
Death in a White Tie,Ngaio Marsh,1938,4.0,22
Test of the Twins,Margaret Weis,1986,4.0,8
Days With Frog and Toad,Arnold Lobel,1979,5.0,9
Moreta,Anne McCaffrey,1983,5.0,25
And the Mountains Echoed,Khaled Hosseini,2013,5.0,3
L.A. Confidential,James Ellroy,1990,5.0,9
The Bridges of Madison County,Robert James Waller,1992,3.71,1
The Crystal Cave,Mary Stewart,1970,5.0,16
La place,Annie Ernaux,1983,5.0,2
Methuselah's children,Robert A. Heinlein,1958,4.0,28
The Chrysalids,John Wyndham,1955,5.0,5
Dragonball (Doragon bo-ru),Akira Toriyama,1984,5.0,1
Citizen of the Galaxy,Robert A. Heinlein,1957,4.0,28
Web of Dreams,V. C. Andrews,1920,5.0,25
My Sweet Audrina,V. C. Andrews,1982,5.0,25
Red Mars,Kim Stanley Robinson,1992,4.0,4
Without fail,Lee Child,2002,4.0,24
The Mediterranean Caper,Clive Cussler,1973,5.0,35
One Corpse too Many,Edith Pargeter,1979,4.0,14
Deep Six,Clive Cussler,1984,4.0,35
To Let,John Galsworthy,1921,5.0,5
The Rosie Project,Graeme Simsion,2013,4.0,2
Edge of Eternity,Ken Follett,2014,4.0,20
Kiss Kiss,Roald Dahl,1960,4.0,22
Indiscretions of Archie,P. G. Wodehouse,1921,4.0,32
The Last Don,Mario Puzo,1996,4.0,9
Absolute Friends,John le Carré,2003,4.0,16
"Black Hawk, Down",Mark Bowden,1999,5.0,1
The Time Traders,Andre Norton,1958,4.0,8
Unseen Academicals,Terry Pratchett,2008,5.0,54
Ada,Vladimir Nabokov,1969,5.0,13
After Many a Summer,Aldous Huxley,1939,5.0,10
The Edwardians,Vita Sackville-West,1930,4.0,2
The selfish giant,Oscar Wilde,1932,5.0,13
Artemis Fowl. The Lost Colony,Eoin Colfer,2006,4.0,13
"Julius, the Baby of the World",Kevin Henkes,1990,5.0,7
No country for old men,Cormac McCarthy,1900,4.0,6
Through the Eye of the Needle,William Dean Howells,1907,4.0,6
The tale of Mr. Tod,Beatrix Potter,1911,4.0,21
The Inheritors,William Golding,1955,4.0,6
"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1991,4.0,15
The Camel Club,David Baldacci,2005,4.0,36
Moving Pictures,Terry Pratchett,1990,4.0,54
Gates of Paradise,V. C. Andrews,1989,4.0,25
Smokescreen,Dick Francis,1972,5.0,24
Soul Music,Terry Pratchett,1994,5.0,54
Великий инквизитор,Фёдор Михайлович Достоевский,1900,5.0,15
The shadow of the Lynx / Victoria Holt,Victoria Holt,1971,5.0,23
God Emperor of Dune,Frank Herbert,1981,4.0,11
Shrek!,William Steig,1990,5.0,9
To a God Unknown,John Steinbeck,1933,5.0,18
Stonehenge,Bernard Cornwell,1999,5.0,27
Dragonsong,Anne McCaffrey,1976,4.0,25
The Truth,Terry Pratchett,1995,4.0,54
Le petit Nicolas,Jean-Jacques Sempé,1960,4.0,3
Bloodline.,Sidney Sheldon,1977,5.0,4
The beach house,James Patterson,2001,5.0,101
The Wayward Bus,John Steinbeck,1947,4.0,18
三体,刘慈欣,2008,4.0,4
Stone soup,Marcia Brown,1947,5.0,1
"Bud, Not Buddy",Christopher Paul Curtis,1994,4.0,2
All the Pretty Horses,Cormac McCarthy,1992,5.0,6
H is for Homicide,Sue Grafton,1991,5.0,7
The Whipping Boy,Sid Fleischman,1986,5.0,3
Me Before You,Jojo Moyes,2012,5.0,5
Gregor the Overlander,Suzanne Collins,2003,5.0,9
Tales of the Five Towns,Arnold Bennett,1905,4.0,8
Everything Is Illuminated,Jonathan Safran Foer,2002,4.0,2
The Listerdale Mystery,Agatha Christie,1961,4.0,85
The Far Side of the World,Patrick O'Brian,1984,5.0,21
Johnny and the Dead,Terry Pratchett,1993,4.0,54
Muminpappans bravader / Muminpappans memoarer,Tove Jansson,1950,5.0,9
Wild Fire,Nelson De Mille,2006,4.0,16
Rooster who set out to see the world,Eric Carle,1971,5.0,16
Five on a Secret Trail,Enid Blyton,1956,4.0,38
What Happened to the Corbetts,Nevil Shute,1939,5.0,8
Monsieur Beaucaire,Booth Tarkington,1900,4.0,5
Father Bear comes home,Else Holmelund Minarik,1959,4.0,5
By the Rivers of Babylon,Nelson De Mille,1978,4.0,16
Cakes and Ale or The skeleton in the cupboard,William Somerset Maugham,1930,4.0,13
An Abundance of Katherines,John Green,2006,3.51,6
Princess and the Pea,Hans Christian Andersen,1967,4.0,9
"Il mio nome è Stilton, Geronimo Stilton",Elisabetta Dami,1999,5.0,33
The Amazing Adventures of Kavalier & Clay,Michael Chabon,1957,4.18,7
The Strength of the Strong,Jack London,1911,5.0,22
Journey Into Fear,Eric Ambler,1940,4.0,10
Code to zero,Ken Follett,2000,5.0,20
The Moor's Last Sigh,Salman Rushdie,1995,4.0,11
The Plot Against America,Philip Roth,1998,5.0,8
Dirk Gently’s Holistic Detective Agency,Douglas Adams,1987,5.0,8
Saturday,Ian McEwan,2004,4.0,12
Unterm Rad,Hermann Hesse,1900,5.0,11
Keep the Aspidistra Flying,George Orwell,1936,5.0,10
Reflections in a Golden Eye,Carson McCullers,1941,5.0,3
Jingo,Terry Pratchett,1996,4.0,54
The Lost Girl,David Herbert Lawrence,1920,5.0,12
Le città invisibili,Italo Calvino,1972,4.0,8
Pied Piper,Nevil Shute,1941,5.0,8
Lilly's Purple Plastic Purse,Kevin Henkes,1996,4.0,7
Le chien jaune,Georges Simenon,1931,5.0,45
Tell No One,Harlan Coben,2000,5.0,16
La bâtarde,Violette Leduc,1964,4.0,1
Crucial Instances,Edith Wharton,1901,4.0,9
Secrets of the Morning,V. C. Andrews,1991,5.0,25
Simisola,Ruth Rendell,1994,5.0,18
The Persian Boy,Mary Renault,1972,5.0,6
The Long Walk,Stephen King,1979,4.07,70
Die vierzig Tage des Musa Dagh,Franz Werfel,1933,5.0,2
Water for Elephants,Sara Gruen,2006,4.11,1
The Complete Works of Lewis Carroll,Lewis Carroll,1900,5.0,7
What Shall We Do With The Boo-hoo Baby?,Cressida Cowell,2000,5.0,5
Time Traveler's Wife,Audrey Niffenegger,2003,5.0,1
Iceberg,Clive Cussler,1975,5.0,35
Corazón tan blanco,Javier Marías,1992,4.0,3
Summer sisters,Judy Blume,1998,5.0,17
"Alas, Babylon (Perennial Classics)",Pat Frank,1959,4.0,1
Mike and Psmith,P. G. Wodehouse,1935,4.0,32
Kiss the Girls,James Patterson,1995,5.0,101
The Voice of the Night,Dean Koontz,1980,4.0,48
Защита Лужина,Vladimir Nabokov,1930,4.0,13
