title,author,first_publish_year,rating,author_encoded
The Murder of Roger Ackroyd,Agatha Christie,1926,5.0,85
Poirot investigates,Agatha Christie,1924,5.0,85
Cien años de soledad,Gabriel García Márquez,1967,5.0,13
The land of mist,Arthur Conan Doyle,1926,5.0,24
The Angel of Terror,Edgar Wallace,1923,4.0,5
The Bat,Mary Roberts Rinehart,1926,4.0,7
Witch Wood,John Buchan,1927,5.0,15
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,5.0,14
Of Mice and Men,John Steinbeck,1937,3.89,18
Der Zauberberg,Thomas Mann,1924,4.0,9
The three hostages,John Buchan,1924,5.0,15
To Kill a Mockingbird,Harper Lee,1960,4.26,3
To Kill a Mockingbird,Harper Lee,1960,4.26,3
Winnie-the-Pooh,A. A. Milne,1925,5.0,10
Lord of Flies,William Golding,1954,4.0,6
The Beetle,Richard Marsh,1917,4.0,1
Rebecca,Daphne du Maurier,1938,4.25,6
And Then There Were None,Agatha Christie,1939,4.28,85
The house without a key,Earl Derr Biggers,1925,4.0,2
The Hour of the Dragon,Robert E. Howard,1977,4.0,2
A Room with a View,Edward Morgan Forster,1908,3.9,7
The Wind in the Willows,Kenneth Grahame,1908,4.02,3
The Very Hungry Caterpillar,Eric Carle,1969,4.34,16
Nostromo,Joseph Conrad,1900,4.0,21
"Arsène Lupin, gentleman-cambrioleur",Maurice Leblanc,1907,4.0,3
An American Tragedy,Theodore Dreiser,1900,5.0,4
"Island of Sheep, the",John Buchan,1920,4.0,15
Childhood Annotated,Лев Толстой,1961,4.0,10
"The little white bird, or, Adventures in Kensington gardens",J. M. Barrie,1902,4.0,6
The Good Earth,Pearl S. Buck,1931,4.0,14
The Horse and His Boy,C.S. Lewis,1954,5.0,14
Angels & Demons,Dan Brown,2000,5.0,6
For Whom the Bell Tolls,Ernest Hemingway,1940,3.98,13
Howards End,Edward Morgan Forster,1910,3.96,7
Das Schloß,Franz Kafka,1926,5.0,4
Death on the Nile,Agatha Christie,1937,5.0,85
Peter Pan in Kensington Gardens,J. M. Barrie,1906,4.0,6
The Magician's Nephew,C.S. Lewis,1955,4.0,14
The Red Thumb Mark,R. Austin Freeman,1907,4.0,8
The Master Key,L. Frank Baum,1901,4.0,18
The Sun Also Rises,Ernest Hemingway,1926,3.79,13
The Tale of Peter Rabbit,Beatrix Potter,1900,4.0,21
The Free Fishers,John Buchan,1934,5.0,15
The power-house,John Buchan,1916,4.0,15
Midwinter,John Buchan,1923,4.0,15
Mont-Saint-Michel and Chartres,Henry Adams,1904,5.0,1
Tender Buttons,Gertrude Stein,1914,5.0,2
Il nome della rosa,Umberto Eco,1980,5.0,8
Tarzan the Terrible (#8),Edgar Rice Burroughs,1921,4.0,30
The book of tea,Okakura Kakuzo,1900,5.0,1
Matilda,Roald Dahl,1988,4.33,22
James and the Giant Peach,Roald Dahl,1961,4.03,22
Charlotte's Web,E. B. White,1952,5.0,3
The Bell Jar,Sylvia Plath,1963,4.06,2
The Diary of a Nobody,George Grossmith,1921,5.0,1
The Silmarillion,J.R.R. Tolkien,1977,4.02,14
John Thorndyke's Cases,R. Austin Freeman,1909,4.0,8
The Handmaid's Tale,Margaret Atwood,1985,4.0,15
Prince Caspian,C.S. Lewis,1951,5.0,14
Northern Lights,Philip Pullman,1995,5.0,13
MAIN STREET,Sinclair Lewis,1920,4.0,7
The Drums of Jeopardy,Harold MacGrath,1920,4.0,1
Fantastic Mr Fox,Roald Dahl,1970,5.0,22
Fuente Ovejuna,Lope de Vega,1909,5.0,2
The Alchemist,Paulo Coelho,1988,3.92,5
The Beasts of Tarzan,Edgar Rice Burroughs,1916,4.0,30
The Martian Chronicles,Ray Bradbury,1950,4.16,9
The BFG,Roald Dahl,1980,4.23,22
In the days of the comet,H. G. Wells,1906,4.0,24
Catch-22,Joseph Heller,1961,3.99,2
Lolita,Vladimir Nabokov,1955,3.87,13
A Clockwork Orange,Anthony Burgess,1962,4.0,5
The A.B.C. Murders,Agatha Christie,1936,5.0,85
4:50 from Paddington,Agatha Christie,1957,5.0,85
Demian,Hermann Hesse,1919,4.14,11
The Catcher in the Rye,J. D. Salinger,1900,3.8,4
Le fantôme de l'opéra,Gaston Leroux,1911,4.0,3
La Chute,Albert Camus,1917,5.0,6
The Daughter of Time,Josephine Tey,1951,4.0,8
Один день Ивана Денисовича,Александр Исаевич Солженицын,1960,5.0,4
El amor en los tiempos del cólera,Gabriel García Márquez,1985,5.0,13
The Case of Jennie Brice,Mary Roberts Rinehart,1915,4.0,7
Flappers and Philosophers,F. Scott Fitzgerald,1920,4.0,9
Goodnight Moon,Margaret Wise Brown,1947,4.32,7
Tales of the Jazz Age,F. Scott Fitzgerald,1922,4.0,9
K,Mary Roberts Rinehart,1915,4.0,7
I Will Repay,"Emmuska Orczy, Baroness Orczy",1900,4.0,7
The Hill of Dreams,Arthur Machen,1907,4.0,5
On The Road,Jack Kerouac,1957,5.0,10
On The Beach,Nevil Shute,1957,4.0,8
The Kite Runner,Khaled Hosseini,2003,4.35,3
Genji monogatari,Murasaki Shikibu,1900,5.0,1
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,5.0,14
Brewster's millions,George Barr McCutcheon,1902,5.0,5
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,5.0,8
A Murder Is Announced,Agatha Christie,1950,4.0,85
Sonnenfinsternis,Arthur Koestler,1940,4.0,2
"The Complete Sherlock Holmes [4 novels, 56 stories]",Arthur Conan Doyle,1900,4.0,24
It Can't Happen Here,Sinclair Lewis,1935,4.0,7
The Murder at the Vicarage,Agatha Christie,1930,4.0,85
The Razor's Edge,William Somerset Maugham,1944,4.0,13
The Silver Chair,C.S. Lewis,1953,5.0,14
The Mystery of the Blue Train,Agatha Christie,1928,4.0,85
All Roads Lead to Calvary,Jerome Klapka Jerome,1919,4.0,3
The Voyages of Doctor Dolittle,Hugh Lofting,1922,5.0,3
L'immoraliste,André Gide,1902,4.0,3
Twilight,Stephenie Meyer,2005,5.0,6
The Big Sleep,Raymond Chandler,1939,4.0,7
Markens grøde,Knut Hamsun,1917,5.0,6
Evil Under the Sun,Agatha Christie,1941,5.0,85
Little House in the Big Woods,Laura Ingalls Wilder,1932,5.0,9
Victory,Joseph Conrad,1915,5.0,21
Carrie,Stephen King,1974,3.99,70
Der Kleine Prinz (German),Antoine de Saint-Exupéry,1988,5.0,4
The Mirror Crack'd from Side to Side,Agatha Christie,1960,4.0,85
Brood of the Witch-Queen,Sax Rohmer,1924,4.0,4
The Big Four,Agatha Christie,1927,5.0,85
The Body in the Library,Agatha Christie,1942,5.0,85
A silent witness,R. Austin Freeman,1929,4.0,8
"Zuleika Dobson, or, An Oxford love story",Sir Max Beerbohm,1911,5.0,1
Canne al vento,Grazia Deledda,1913,4.0,1
After the Funeral,Agatha Christie,1953,4.0,85
The Godfather,Mario Puzo,1969,5.0,9
Tarzan the Untamed (Book #7),Edgar Rice Burroughs,1920,4.0,30
The moving finger,Agatha Christie,1942,5.0,85
Crooked House,Agatha Christie,1949,5.0,85
At Bertram's Hotel,Agatha Christie,1965,5.0,85
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,4.0,3
Osudy dobrého vojáka Švejka za světové války,Jaroslav Hašek,1926,4.0,1
They Do It with Mirrors,Agatha Christie,1952,5.0,85
Abel Sánchez,Miguel de Unamuno,1917,5.0,4
Peril at End House,Agatha Christie,1932,4.0,85
The Witches,Roald Dahl,1983,4.18,22
The Book Thief,Markus Zusak,1998,4.39,3
