title,url,author,rating,rating_count,id
Treasure Island,https://www.goodreads.com/book/show/295.Treasure_Island,Robert Louis Stevenson,3.85,518558,295
Jonathan Livingston Seagull,https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull,Richard Bach,3.86,263520,71728
"A Storm of Swords (A Song of Ice and Fire, #3)",https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,George R.R. Martin,4.55,820647,62291
Ulysses,https://www.goodreads.com/book/show/338798.Ulysses,James Joyce,3.77,136457,338798
The Boy in the Striped Pajamas,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas,John Boyne,4.16,903899,39999
"Fifty Shades of Grey (Fifty Shades, #1)",https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,E.L. James,3.67,2771563,10818853
"Jurassic Park (Jurassic Park, #1)",https://www.goodreads.com/book/show/40604658-jurassic-park,Michael Crichton,4.12,1009477,40604658
"Beloved (Beloved Trilogy, #1)",https://www.goodreads.com/book/show/6149.Beloved,Toni Morrison,3.97,465081,6149
"The Clan of the Cave Bear (Earth's Children, #1)",https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear,Jean M. Auel,4.1,275870,40611463
"The Lost Hero (The Heroes of Olympus, #1)",https://www.goodreads.com/book/show/7736182-the-lost-hero,Rick Riordan,4.3,903218,7736182
A Farewell to Arms,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms,Ernest Hemingway,3.82,338278,10799
David Copperfield,https://www.goodreads.com/book/show/58696.David_Copperfield,Charles Dickens,4.04,249635,58696
The Canterbury Tales,https://www.goodreads.com/book/show/2696.The_Canterbury_Tales,Geoffrey Chaucer,3.52,232489,2696
A Little Princess,https://www.goodreads.com/book/show/3008.A_Little_Princess,Frances Hodgson Burnett,4.23,317517,3008
The World According to Garp,https://www.goodreads.com/book/show/7069.The_World_According_to_Garp,John Irving,4.11,234137,7069
Thirteen Reasons Why,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why,Jay Asher,3.84,1004607,29844228
"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder,Marissa Meyer,4.13,976776,36381037
His Dark Materials (His Dark Materials #1-3),https://www.goodreads.com/book/show/18116.His_Dark_Materials,Philip Pullman,4.29,165486,18116
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://www.goodreads.com/book/show/37442.Wicked,Gregory Maguire,3.52,653023,37442
"Clockwork Prince (The Infernal Devices, #2)",https://www.goodreads.com/book/show/10025305-clockwork-prince,Cassandra Clare,4.42,571901,10025305
"Shōgun (Asian Saga, #1)",https://www.goodreads.com/book/show/52382796-sh-gun,James Clavell,4.41,200601,52382796
Schindler’s List,https://www.goodreads.com/book/show/375013.Schindler_s_List,Thomas Keneally,4.34,163205,375013
The Velveteen Rabbit,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,Margery Williams Bianco,4.31,266366,144974
The Iliad / The Odyssey,https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey,Homer,4.07,80827,1375
The Silmarillion,https://www.goodreads.com/book/show/7332.The_Silmarillion,J.R.R. Tolkien,4.02,317640,7332
The Trial,https://www.goodreads.com/book/show/17690.The_Trial,Franz Kafka,3.95,363740,17690
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Diana Wynne Jones,4.29,410331,6294
Extremely Loud & Incredibly Close,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close,Jonathan Safran Foer,3.97,429088,4588
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl,Philippa Gregory,4.09,506079,37470
"The Silence of the Lambs  (Hannibal Lecter, #2)",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,Thomas  Harris,4.25,571477,23807
Man’s Search for Meaning,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,4.38,801959,4069
"Fallen (Fallen, #1)",https://www.goodreads.com/book/show/6487308-fallen,Lauren Kate,3.72,605496,6487308
The Sun Also Rises,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,Ernest Hemingway,3.79,470978,3876
"Last Sacrifice (Vampire Academy, #6)",https://www.goodreads.com/book/show/6527740-last-sacrifice,Richelle Mead,4.37,295164,6527740
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,4.1,3459543,7260188
A Confederacy of Dunces,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,John Kennedy Toole,3.89,287603,310612
The Green Mile,https://www.goodreads.com/book/show/11566.The_Green_Mile,Stephen        King,4.48,343125,11566
The Secret Magdalene,https://www.goodreads.com/book/show/514811.The_Secret_Magdalene,Ki Longfellow,4.15,4684,514811
The Crucible,https://www.goodreads.com/book/show/17250.The_Crucible,Arthur Miller,3.61,442961,17250
Cat’s Cradle,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Kurt Vonnegut Jr.,4.15,421825,135479
The Screwtape Letters,https://www.goodreads.com/book/show/8130077-the-screwtape-letters,C.S. Lewis,4.27,485923,8130077
The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,Paula Hawkins,3.96,3142883,22557272
The Wind in the Willows,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows,Kenneth Grahame,4.02,231146,5659
A Light in the Attic,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic,Shel Silverstein,4.36,465635,30118
"Spirit Bound (Vampire Academy, #5)",https://www.goodreads.com/book/show/6479259-spirit-bound,Richelle Mead,4.32,302753,6479259
Misery,https://www.goodreads.com/book/show/10614.Misery,Stephen        King,4.23,795907,10614
The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,J.R.R. Tolkien,4.54,706302,33
"City of Fallen Angels (The Mortal Instruments, #4)",https://www.goodreads.com/book/show/6752378-city-of-fallen-angels,Cassandra Clare,4.07,624653,6752378
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,https://www.goodreads.com/book/show/561909.The_Hiding_Place,Corrie ten Boom,4.47,342413,561909
Blindness,https://www.goodreads.com/book/show/40495148-blindness,José Saramago,4.18,315604,40495148
"Crooked Kingdom (Six of Crows, #2)",https://www.goodreads.com/book/show/22299763-crooked-kingdom,Leigh Bardugo,4.58,714531,22299763
The God of Small Things,https://www.goodreads.com/book/show/9777.The_God_of_Small_Things,Arundhati Roy,3.96,312320,9777
The Phantom of the Opera,https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera,Gaston Leroux,3.96,262400,480204
"A Clash of Kings  (A Song of Ice and Fire, #2)",https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,George R.R. Martin,4.42,985259,10572
The Chain Between Worlds (The Lost Artefacts #1),https://www.goodreads.com/book/show/60288648-the-chain-between-worlds,Johnathon Nicolaou,4.47,1196,60288648
"Ella Enchanted (Ella Enchanted, #1)",https://www.goodreads.com/book/show/24337.Ella_Enchanted,Gail Carson Levine,4.01,419204,24337
Girl with a Pearl Earring,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,Tracy Chevalier,3.93,759657,2865
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,J.R.R. Tolkien,4.4,2981929,34
The House of the Spirits,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits,Isabel Allende,4.29,294315,9328
Dark Places,https://www.goodreads.com/book/show/5886881-dark-places,Gillian Flynn,3.95,799392,5886881
"Uglies (Uglies, #1)",https://www.goodreads.com/book/show/24770.Uglies,Scott Westerfeld,3.85,694834,24770
The Wind-Up Bird Chronicle,https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle,Haruki Murakami,4.14,300936,11275
Marley and Me: Life and Love With the World’s Worst Dog,https://www.goodreads.com/book/show/12691.Marley_and_Me,John Grogan,4.14,474294,12691
"The Way of Kings (The Stormlight Archive, #1)",https://www.goodreads.com/book/show/7235533-the-way-of-kings,Brandon Sanderson,4.67,592026,7235533
Mystic River,https://www.goodreads.com/book/show/21671.Mystic_River,Dennis Lehane,4.17,153581,21671
The Guernsey Literary and Potato Peel Pie Society,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,4.19,783854,39832183
Norwegian Wood,https://www.goodreads.com/book/show/11297.Norwegian_Wood,Haruki Murakami,4.0,672967,11297
"Red Dragon (Hannibal Lecter, #1)",https://www.goodreads.com/book/show/28877.Red_Dragon,Thomas  Harris,4.07,354484,28877
She’s Come Undone,https://www.goodreads.com/book/show/5203.She_s_Come_Undone,Wally Lamb,3.91,354114,5203
Paper Towns,https://www.goodreads.com/book/show/6442769-paper-towns,John Green,3.7,1444522,6442769
Shutter Island,https://www.goodreads.com/book/show/21686.Shutter_Island,Dennis Lehane,4.13,208742,21686
"Shiver (The Wolves of Mercy Falls, #1)",https://www.goodreads.com/book/show/6068551-shiver,Maggie Stiefvater,3.76,490682,6068551
Speak,https://www.goodreads.com/book/show/39280444-speak,Laurie Halse Anderson,4.05,615549,39280444
"Marked (House of Night, #1)",https://www.goodreads.com/book/show/30183.Marked,P.C. Cast,3.82,513320,30183
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas,Hunter S. Thompson,4.07,364865,7745
The Shack: Where Tragedy Confronts Eternity,https://www.goodreads.com/book/show/40874325-the-shack,William Paul Young,3.83,675523,40874325
1984,https://www.goodreads.com/book/show/61439040-1984,George Orwell,4.2,5062674,61439040
The Sound and the Fury,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury,William Faulkner,3.86,189353,10975
The Complete Calvin and Hobbes,https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes,Bill Watterson,4.81,41386,24812
For Whom the Bell Tolls,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls,Ernest Hemingway,3.98,306658,46170
Kafka on the Shore,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Haruki Murakami,4.12,513458,4929
Before I Go to Sleep,https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,S.J. Watson,3.9,353032,9736930
The Complete Sherlock Holmes,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes,Arthur Conan Doyle,4.5,212627,188572
Island of the Blue Dolphins,https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins,Scott O'Dell,3.87,342435,41044096
The Idiot,https://www.goodreads.com/book/show/12505.The_Idiot,Fyodor Dostoevsky,4.21,201130,12505
"Inkheart (Inkworld, #1)",https://www.goodreads.com/book/show/28194.Inkheart,Cornelia Funke,3.92,435248,28194
Roots: The Saga of an American Family,https://www.goodreads.com/book/show/546018.Roots,Alex Haley,4.44,162148,546018
Big Little Lies,https://www.goodreads.com/book/show/33516773-big-little-lies,Liane Moriarty,4.31,1067648,33516773
Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Robert A. Heinlein,3.92,320657,350
Othello,https://www.goodreads.com/book/show/12996.Othello,William Shakespeare,3.89,419790,12996
Into the Wild,https://www.goodreads.com/book/show/1845.Into_the_Wild,Jon Krakauer,4.02,1146959,1845
Never Lie,https://www.goodreads.com/book/show/62080187-never-lie,Freida McFadden,4.09,1075213,62080187
The Woman in the Window,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window,A.J. Finn,3.95,843380,40389527
None of This Is True,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,Lisa Jewell,4.1,854617,62334530
"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,4.17,550442,14497
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,Stieg Larsson,4.24,758217,6892870
"Shatter Me (Shatter Me, #1)",https://www.goodreads.com/book/show/10429045-shatter-me,Tahereh Mafi,3.84,1081202,10429045
"The Vampire Lestat (The Vampire Chronicles, #2)",https://www.goodreads.com/book/show/43814.The_Vampire_Lestat,Anne Rice,4.1,209991,43814
The Things They Carried,https://www.goodreads.com/book/show/133518.The_Things_They_Carried,Tim O'Brien,4.14,331314,133518
"Wonder (Wonder, #1)",https://www.goodreads.com/book/show/11387515-wonder,R.J. Palacio,4.36,1150407,11387515
King Lear,https://www.goodreads.com/book/show/12938.King_Lear,William Shakespeare,3.91,228971,12938
The Paris Apartment,https://www.goodreads.com/book/show/58468990-the-paris-apartment,Lucy Foley,3.65,639917,58468990
"Delirium (Delirium, #1)",https://www.goodreads.com/book/show/11614718-delirium,Lauren Oliver,3.95,474353,11614718
Never Let Me Go,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Kazuo Ishiguro,3.85,780101,6334
White Oleander,https://www.goodreads.com/book/show/32234.White_Oleander,Janet Fitch,4.0,360822,32234
"Beautiful Disaster (Beautiful, #1)",https://www.goodreads.com/book/show/11505797-beautiful-disaster,Jamie McGuire,4.0,700860,11505797
"The Cruel Prince (The Folk of the Air, #1)",https://www.goodreads.com/book/show/26032825-the-cruel-prince,Holly Black,4.02,1530700,26032825
"Foundation (Foundation, #1)",https://www.goodreads.com/book/show/29579.Foundation,Isaac Asimov,4.17,570761,29579
Blood River: A Journey to Africa’s Broken Heart,https://www.goodreads.com/book/show/2184798.Blood_River,Tim Butcher,3.98,11737,2184798
Uncle Tom’s Cabin,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin,Harriet Beecher Stowe,3.91,236334,46787
Lock Every Door,https://www.goodreads.com/book/show/41837243-lock-every-door,Riley Sager,3.89,259490,41837243
"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/book/show/9969571-ready-player-one,Ernest Cline,4.23,1243441,9969571
"The Family Upstairs (The Family Upstairs, #1)",https://www.goodreads.com/book/show/43822820-the-family-upstairs,Lisa Jewell,3.96,501565,43822820
"You (You, #1)",https://www.goodreads.com/book/show/36430011-you,Caroline Kepnes,3.96,269774,36430011
"Mistborn: The Final Empire (Mistborn, #1)",https://www.goodreads.com/book/show/68428.Mistborn,Brandon Sanderson,4.49,840187,68428
Midnight Sun [2008 Draft],https://www.goodreads.com/book/show/4502877-midnight-sun-2008-draft,Stephenie Meyer,4.01,148881,4502877
East of Eden,https://www.goodreads.com/book/show/4406.East_of_Eden,John Steinbeck,4.42,582141,4406
"The Mark of Athena (The Heroes of Olympus, #3)",https://www.goodreads.com/book/show/12127750-the-mark-of-athena,Rick Riordan,4.47,645710,12127750
"The Bone Collector (Lincoln Rhyme, #1)",https://www.goodreads.com/book/show/2373.The_Bone_Collector,Jeffery Deaver,4.2,186206,2373
The Once and Future King,https://www.goodreads.com/book/show/43545.The_Once_and_Future_King,T.H. White,4.07,115358,43545
"The Son of Neptune (The Heroes of Olympus, #2)",https://www.goodreads.com/book/show/9520360-the-son-of-neptune,Rick Riordan,4.41,637576,9520360
Pretty Girls,https://www.goodreads.com/book/show/25574782-pretty-girls,Karin Slaughter,4.02,569759,25574782
I Know This Much Is True,https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True,Wally Lamb,4.21,318351,227711
James and the Giant Peach,https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach,Roald Dahl,4.03,497757,6689
"The Housemaid's Secret (The Housemaid, #2)",https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,Freida McFadden,4.21,1124465,62848145
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses,Sarah J. Maas,4.17,3602620,16096824
Candide,https://www.goodreads.com/book/show/19380.Candide,Voltaire,3.76,289547,19380
The Complete Works,https://www.goodreads.com/book/show/569564.The_Complete_Works,William Shakespeare,4.48,57372,569564
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small,James Herriot,4.35,152873,32085
Flow Down Like Silver,https://www.goodreads.com/book/show/6801755-flow-down-like-silver,Ki Longfellow,4.01,4516,6801755
Paradise Lost,https://www.goodreads.com/book/show/15997.Paradise_Lost,John Milton,3.85,174634,15997
Invisible Man,https://www.goodreads.com/book/show/16981.Invisible_Man,Ralph Ellison,3.92,195527,16981
The Time Machine,https://www.goodreads.com/book/show/2493.The_Time_Machine,H.G. Wells,3.9,544598,2493
The Historian,https://www.goodreads.com/book/show/30236962-the-historian,Elizabeth Kostova,3.8,271676,30236962
Behind Closed Doors,https://www.goodreads.com/book/show/29437949-behind-closed-doors,B.A. Paris,3.97,691057,29437949
No Exit,https://www.goodreads.com/book/show/35522836-no-exit,Taylor  Adams,3.99,192031,35522836
"The Woman in Cabin 10 (Lo Blacklock, #1)",https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10,Ruth Ware,3.73,686050,28187230
"Heidi (Heidi, #1-2)",https://www.goodreads.com/book/show/93.Heidi,Johanna Spyri,4.04,206394,93
The Thirteenth Tale,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,Diane Setterfield,3.98,320780,40440
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",https://www.goodreads.com/book/show/28881.Lamb,Christopher Moore,4.23,178064,28881
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55,592871,1215032
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you,Jojo Moyes,4.26,1735627,17347634
The Martian,https://www.goodreads.com/book/show/18007564-the-martian,Andy Weir,4.42,1206711,18007564
The Couple Next Door,https://www.goodreads.com/book/show/28815474-the-couple-next-door,Shari Lapena,3.8,660652,28815474
"City of Lost Souls (The Mortal Instruments, #5)",https://www.goodreads.com/book/show/8755776-city-of-lost-souls,Cassandra Clare,4.21,552778,8755776
All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,Anthony Doerr,4.31,1850889,18143977
"Graceling (Graceling Realm, #1)",https://www.goodreads.com/book/show/3236307-graceling,Kristin Cashore,4.07,473289,3236307
A Flicker in the Dark,https://www.goodreads.com/book/show/57693172-a-flicker-in-the-dark,Stacy Willingham,3.99,517298,57693172
Leaves of Grass,https://www.goodreads.com/book/show/27494.Leaves_of_Grass,Walt Whitman,4.12,112908,27494
Home Before Dark,https://www.goodreads.com/book/show/50833559-home-before-dark,Riley Sager,4.06,256455,50833559
Different Seasons,https://www.goodreads.com/book/show/39662.Different_Seasons,Stephen        King,4.36,214098,39662
"Are You There God? It’s Me, Margaret",https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,Judy Blume,3.94,249077,37732
Then She Was Gone,https://www.goodreads.com/book/show/35297426-then-she-was-gone,Lisa Jewell,4.05,856591,35297426
Final Girls,https://www.goodreads.com/book/show/32796253-final-girls,Riley Sager,3.83,228603,32796253
The Cider House Rules,https://www.goodreads.com/book/show/4687.The_Cider_House_Rules,John Irving,4.17,190737,4687
The Last Thing He Told Me,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,Laura Dave,3.83,1065932,54981009
Hamlet,https://www.goodreads.com/book/show/1420.Hamlet,William Shakespeare,4.02,1003972,1420
Walden,https://www.goodreads.com/book/show/16902.Walden,Henry David Thoreau,3.78,197765,16902
The Complete Maus,https://www.goodreads.com/book/show/15195.The_Complete_Maus,Art Spiegelman,4.58,239039,15195
The Only One Left,https://www.goodreads.com/book/show/62703226-the-only-one-left,Riley Sager,4.14,449387,62703226
Fangirl,https://www.goodreads.com/book/show/16068905-fangirl,Rainbow Rowell,3.94,766252,16068905
Mrs. Dalloway,https://www.goodreads.com/book/show/14942.Mrs_Dalloway,Virginia Woolf,3.79,329675,14942
"Legend (Legend, #1)",https://www.goodreads.com/book/show/9275658-legend,Marie Lu,4.15,549456,9275658
Fried Green Tomatoes at the Whistle Stop Cafe,https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Fannie Flagg,4.28,317360,9375
Sophie’s World,https://www.goodreads.com/book/show/10959.Sophie_s_World,Jostein Gaarder,3.97,271529,10959
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,Holly  Jackson,4.3,1515160,40916679
The Awakening,https://www.goodreads.com/book/show/58345.The_Awakening,Kate Chopin,3.68,218894,58345
"The Hound of the Baskervilles (Sherlock Holmes, #5)",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles,Arthur Conan Doyle,4.13,368457,8921
The Graveyard Book,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,4.16,556899,2213661
Do Androids Dream of Electric Sheep?,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep,Philip K. Dick,4.09,483844,36402034
Middlemarch,https://www.goodreads.com/book/show/19089.Middlemarch,George Eliot,4.03,171758,19089
The Monster at the End of this Book,https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,Jon Stone,4.46,126099,44186
Stardust,https://www.goodreads.com/book/show/16793.Stardust,Neil Gaiman,4.1,472269,16793
"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/book/show/11857408-fifty-shades-darker,E.L. James,3.83,950964,11857408
Sophie’s Choice,https://www.goodreads.com/book/show/228560.Sophie_s_Choice,William Styron,4.17,92931,228560
Black Beauty,https://www.goodreads.com/book/show/3685.Black_Beauty,Anna Sewell,4.0,290202,3685
The Prince of Tides,https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,Pat Conroy,4.26,212549,16735
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,Benjamin Alire Sáenz,4.3,650085,12000020
"Things Fall Apart (The African Trilogy, #1)",https://www.goodreads.com/book/show/37781.Things_Fall_Apart,Chinua Achebe,3.74,394425,37781
"Dead Until Dark (Sookie Stackhouse, #1)",https://www.goodreads.com/book/show/301082.Dead_Until_Dark,Charlaine Harris,3.97,552553,301082
"A Time to Kill (Jake Brigance, #1)",https://www.goodreads.com/book/show/32542.A_Time_to_Kill,John Grisham,4.12,815778,32542
Number the Stars,https://www.goodreads.com/book/show/47281.Number_the_Stars,Lois Lowry,4.19,598425,47281
"Bridget Jones’s Diary (Bridget Jones, #1)",https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,Helen Fielding,3.81,1005440,227443
"Ignite Me (Shatter Me, #3)",https://www.goodreads.com/book/show/13188676-ignite-me,Tahereh Mafi,4.45,590865,13188676
"The Magician’s Nephew (Chronicles of Narnia, #6)",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,C.S. Lewis,4.05,576597,65605
The Art of Racing in the Rain,https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain,Garth Stein,4.23,539037,3153910
V for Vendetta,https://www.goodreads.com/book/show/5805.V_for_Vendetta,Alan             Moore,4.26,317074,5805
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park,Rainbow Rowell,3.93,1224245,15745753
American Psycho,https://www.goodreads.com/book/show/28676.American_Psycho,Bret Easton Ellis,3.81,340464,28676
War and Peace,https://www.goodreads.com/book/show/656.War_and_Peace,Leo Tolstoy,4.16,350255,656
Franny and Zooey,https://www.goodreads.com/book/show/5113.Franny_and_Zooey,J.D. Salinger,3.96,231699,5113
Beowulf,https://www.goodreads.com/book/show/52357.Beowulf,Unknown,3.49,332748,52357
White Fang,https://www.goodreads.com/book/show/43035.White_Fang,Jack London,4.03,198741,43035
Love You Forever,https://www.goodreads.com/book/show/310259.Love_You_Forever,Robert Munsch,4.38,243341,310259
The Witches,https://www.goodreads.com/book/show/6327.The_Witches,Roald Dahl,4.18,414447,6327
A Little Life,https://www.goodreads.com/book/show/22822858-a-little-life,Hanya Yanagihara,4.3,805459,22822858
"Allegiant (Divergent, #3)",https://www.goodreads.com/book/show/18710190-allegiant,Veronica Roth,3.6,1105833,18710190
A Short History of Nearly Everything,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything,Bill Bryson,4.22,406179,21
"Harry Potter Series Box Set (Harry Potter, #1-7)",https://www.goodreads.com/book/show/862041.Harry_Potter_Series_Box_Set,J.K. Rowling,4.73,297077,862041
"The Gunslinger (The Dark Tower, #1)",https://www.goodreads.com/book/show/43615.The_Gunslinger,Stephen        King,3.92,640681,43615
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay,Gayle Forman,3.91,945952,4374400
"The Power of One (The Power of One, #1)",https://www.goodreads.com/book/show/122.The_Power_of_One,Bryce Courtenay,4.35,91834,122
The Complete Novels,https://www.goodreads.com/book/show/14905.The_Complete_Novels,Jane Austen,4.57,33699,14905
Gulliver’s Travels,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels,Jonathan Swift,3.59,289410,7733
"The Eye of the World (The Wheel of Time, #1)",https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,Robert Jordan,4.19,561549,228665
"The House of Hades (The Heroes of Olympus, #4)",https://www.goodreads.com/book/show/12127810-the-house-of-hades,Rick Riordan,4.57,456363,12127810
Tuck Everlasting,https://www.goodreads.com/book/show/84981.Tuck_Everlasting,Natalie Babbitt,3.9,285683,84981
"It Ends with Us (It Ends with Us, #1)",https://www.goodreads.com/book/show/27362503-it-ends-with-us,Colleen Hoover,4.12,4231967,27362503
"Fifty Shades Freed (Fifty Shades, #3)",https://www.goodreads.com/book/show/13536860-fifty-shades-freed,E.L. James,3.83,892661,13536860
"A Child Called ""It"" (Dave Pelzer, #1)",https://www.goodreads.com/book/show/60748.A_Child_Called_It_,Dave Pelzer,4.13,450512,60748
’Salem’s Lot,https://www.goodreads.com/book/show/11590._Salem_s_Lot,Stephen        King,4.1,622900,11590
A Portrait of the Artist as a Young Man,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,James Joyce,3.64,158682,7588
Bel Canto,https://www.goodreads.com/book/show/5826.Bel_Canto,Ann Patchett,3.94,304543,5826
11/22/63,https://www.goodreads.com/book/show/10644930-11-22-63,Stephen        King,4.34,593172,10644930
The Grapes of Wrath,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,John Steinbeck,4.02,954669,18114322
"Heir of Fire (Throne of Glass, #3)",https://www.goodreads.com/book/show/20613470-heir-of-fire,Sarah J. Maas,4.46,1276399,20613470
Inferno,https://www.goodreads.com/book/show/15645.Inferno,Dante Alighieri,4.03,195554,15645
القرآن الكريم,https://www.goodreads.com/book/show/646462._,Anonymous,4.38,70625,646462
"Fourth Wing (The Empyrean, #1)",https://www.goodreads.com/book/show/61431922-fourth-wing,Rebecca Yarros,4.58,2774598,61431922
Tao Te Ching,https://www.goodreads.com/book/show/67896.Tao_Te_Ching,Lao Tzu,4.29,172079,67896
Cold Mountain,https://www.goodreads.com/book/show/10920.Cold_Mountain,Charles Frazier,3.89,246737,10920
The Tell-Tale Heart and Other Writings,https://www.goodreads.com/book/show/391729.The_Tell_Tale_Heart_and_Other_Writings,Edgar Allan Poe,4.19,242788,391729
As I Lay Dying,https://www.goodreads.com/book/show/77013.As_I_Lay_Dying,William Faulkner,3.72,178246,77013
Cloud Atlas,https://www.goodreads.com/book/show/49628.Cloud_Atlas,David Mitchell,4.01,258840,49628
Go Ask Alice,https://www.goodreads.com/book/show/46799.Go_Ask_Alice,Beatrice Sparks,3.74,283690,46799
