title,url,author,rating,rating_count,id
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,4.62,3939274,136251
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,3.98,1246245,33574273
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.82,1136676,1381
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.88,1728499,35031085
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner,Khaled Hosseini,4.35,3335712,77203
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver,Lois Lowry,4.12,2674088,3636
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,4.15,2235594,38447
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,4.58,4562049,5
Where the Wild Things Are,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,4.25,1034227,19543
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,Alice Sebold,3.86,2421471,12232938
Green Eggs and Ham,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Dr. Seuss,4.31,816921,23772
The Adventures of Huckleberry Finn,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,3.83,1303731,2956
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,4.28,1527106,44767458
Life of Pi,https://www.goodreads.com/book/show/4214.Life_of_Pi,Yann Martel,3.94,1700385,4214
A Tale of Two Cities,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,Charles Dickens,3.87,986005,1953
Lolita,https://www.goodreads.com/book/show/7604.Lolita,Vladimir Nabokov,3.87,899454,7604
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,4.1,1427697,4981
Water for Elephants,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Sara Gruen,4.11,1666187,43641
The Bell Jar,https://www.goodreads.com/book/show/6514.The_Bell_Jar,Sylvia Plath,4.06,1100025,6514
Matilda,https://www.goodreads.com/book/show/39988.Matilda,Roald Dahl,4.33,1037888,39988
The Stand,https://www.goodreads.com/book/show/149267.The_Stand,Stephen        King,4.35,800818,149267
Catch-22,https://www.goodreads.com/book/show/168668.Catch_22,Joseph Heller,3.99,861545,168668
The Girl With the Dragon Tattoo (Millennium #1),https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,Stieg Larsson,4.17,3332351,2429135
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,4.3,315993,3590
"The Pillars of the Earth (Kingsbridge, #1)",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,Ken Follett,4.34,797384,5043
"Watership Down (Watership Down, #1)",https://www.goodreads.com/book/show/76620.Watership_Down,Richard  Adams,4.09,494090,76620
Rebecca,https://www.goodreads.com/book/show/17899948-rebecca,Daphne du Maurier,4.25,678177,17899948
Great Expectations,https://www.goodreads.com/book/show/2623.Great_Expectations,Charles Dickens,3.8,844844,2623
The Color Purple,https://www.goodreads.com/book/show/52892857-the-color-purple,Alice Walker,4.27,724642,52892857
"Outlander (Outlander, #1)",https://www.goodreads.com/book/show/10964.Outlander,Diana Gabaldon,4.26,1116385,10964
Anna Karenina,https://www.goodreads.com/book/show/15823480-anna-karenina,Leo Tolstoy,4.1,889837,15823480
One Flew Over the Cuckoo’s Nest,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,Ken Kesey,4.2,758254,332613
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,4.4,2981684,61215351
My Sister’s Keeper,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,Jodi Picoult,4.1,1254166,10917
The Brothers Karamazov,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,Fyodor Dostoevsky,4.38,358485,4934
A Tree Grows in Brooklyn,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,Betty  Smith,4.3,488935,14891
A Clockwork Orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,Anthony Burgess,4.0,743776,41817486
To Kill a Mockingbird,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird,Harper Lee,4.26,6562994,2654
The Road,https://www.goodreads.com/book/show/6288.The_Road,Cormac McCarthy,3.99,974757,6288
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,4.03,1578695,119322
"Vampire Academy (Vampire Academy, #1)",https://www.goodreads.com/book/show/345627.Vampire_Academy,Richelle Mead,4.11,667617,345627
Siddhartha,https://www.goodreads.com/book/show/52036.Siddhartha,Hermann Hesse,4.08,827269,52036
"Angela’s Ashes (Frank McCourt, #1)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes,Frank McCourt,4.15,645582,252577
Don Quixote,https://www.goodreads.com/book/show/3836.Don_Quixote,Miguel de Cervantes Saavedra,3.9,291253,3836
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire,J.K. Rowling,4.57,3981966,58613424
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,Ernest Hemingway,3.81,1235983,2165
The Poisonwood Bible,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,Barbara Kingsolver,4.1,769619,7244
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,Agatha Christie,4.28,1497163,16299
The Complete Stories and Poems,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,4.4,287696,23919
Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Ayn Rand,3.69,399716,662
"Interview with the Vampire (The Vampire Chronicles, #1)",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,Anne Rice,4.02,624090,43763
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,A.A. Milne,4.38,386911,99107
"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook,Nicholas Sparks,4.16,1784193,33648131
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince,J.K. Rowling,4.58,3495035,58613345
Fahrenheit 451,https://www.goodreads.com/book/show/4381.Fahrenheit_451,Ray Bradbury,3.97,2635109,4381
"The Shining (The Shining, #1)",https://www.goodreads.com/book/show/11588.The_Shining,Stephen        King,4.28,1615532,11588
"Moby-Dick or, The Whale",https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale,Herman Melville,3.56,593394,153747
A Prayer for Owen Meany,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,John Irving,4.24,329203,4473
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger,Albert Camus,4.03,1257906,49552
"Clockwork Angel (The Infernal Devices, #1)",https://www.goodreads.com/book/show/7171637-clockwork-angel,Cassandra Clare,4.31,857841,7171637
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,J.K. Rowling,4.43,4252999,15881
The Secret Life of Bees,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,Sue Monk Kidd,4.1,1326030,37435
It,https://www.goodreads.com/book/show/830502.It,Stephen        King,4.24,1202228,830502
