title,url,id,author
Candide,https://www.gutenberg.org/ebooks/19942,19942,Voltaire
The Hound of the Baskervilles,https://www.gutenberg.org/ebooks/2852,2852,Arthur Conan Doyle
Peter Pan,https://www.gutenberg.org/ebooks/16,16,J. M. Barrie
The King in Yellow,https://www.gutenberg.org/ebooks/8492,8492,Robert W. Chambers
Gulliver's Travels into Several Remote Nations of the World,https://www.gutenberg.org/ebooks/829,829,Jonathan Swift
Notes from the Underground,https://www.gutenberg.org/ebooks/600,600,Fyodor Dostoyevsky
Faust [part 1]. Translated Into English in the Original Metres,https://www.gutenberg.org/ebooks/14591,14591,Johann Wolfgang von Goethe
Sense and Sensibility,https://www.gutenberg.org/ebooks/161,161,Jane Austen
"Hamlet, Prince of Denmark",https://www.gutenberg.org/ebooks/27761,27761,William Shakespeare
Through the Looking-Glass,https://www.gutenberg.org/ebooks/12,12,Lewis Carroll
Persuasion,https://www.gutenberg.org/ebooks/105,105,Jane Austen
Oedipus King of Thebes,https://www.gutenberg.org/ebooks/27673,27673,Sophocles
Hard Times,https://www.gutenberg.org/ebooks/786,786,Charles Dickens
The Life and Adventures of Robinson Crusoe,https://www.gutenberg.org/ebooks/521,521,Daniel Defoe
The Time Machine,https://www.gutenberg.org/ebooks/35,35,H. G. Wells
Les misérables Tome I: Fantine (French),https://www.gutenberg.org/ebooks/17489,17489,Victor Hugo
The Turn of the Screw,https://www.gutenberg.org/ebooks/209,209,Henry James
A Portrait of the Artist as a Young Man,https://www.gutenberg.org/ebooks/4217,4217,James Joyce
The Sorrows of Young Werther,https://www.gutenberg.org/ebooks/2527,2527,Johann Wolfgang von Goethe
The Jungle,https://www.gutenberg.org/ebooks/140,140,Upton Sinclair
The call of the wild,https://www.gutenberg.org/ebooks/215,215,Jack London
Pygmalion,https://www.gutenberg.org/ebooks/3825,3825,Bernard Shaw
The Tempest,https://www.gutenberg.org/ebooks/23042,23042,William Shakespeare
Lysistrata,https://www.gutenberg.org/ebooks/7700,7700,Aristophanes
西遊記 (Chinese),https://www.gutenberg.org/ebooks/23962,23962,Cheng'en Wu
The murder of Roger Ackroyd,https://www.gutenberg.org/ebooks/69087,69087,Agatha Christie
"The Awakening, and Selected Short Stories",https://www.gutenberg.org/ebooks/160,160,Kate Chopin
Madame Bovary,https://www.gutenberg.org/ebooks/2413,2413,Gustave Flaubert
Ethan Frome,https://www.gutenberg.org/ebooks/4517,4517,Edith Wharton
