rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri
3,0,1,0,0,None,A00B01LBPLEG6,Waterhouse Press,Jonah falls for his brother's therapist while trying to unravel his family's abduction.,0.00,BURN,Helen Hardt,by Helen Hardt,,https://storage.googleapis.com/du-prd/books/images/A00B01LBPLEG6.jpg,330,495,https://www.amazon.com/Burn-Steel-Brothers-Saga-Book-ebook/dp/B01LBPLEG6?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1943893217', 'isbn13': '9781943893218'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Burn-Steel-Brothers-Saga-Book-ebook/dp/B01LBPLEG6?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': ''}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fs%2FBURN+Helen+Hardt'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fsearch%3Fquery%3DBURN%2BHelen%2BHardt'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/books?affiliate=3546&keywords=BURN'}]",nyt://book/90387436-ee60-5758-a76d-1cc1e43bc71f
4,5,4,0,0,0964729237,9780964729230,Windblown Media,"A man whose daughter was abducted is invited to an isolated shack, apparently by God.",0.00,THE SHACK,William P Young,by William P. Young,,https://storage.googleapis.com/du-prd/books/images/9780964729230.jpg,328,495,http://www.amazon.com/The-Shack-Tragedy-Confronts-Eternity/dp/0964729237?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0964729237', 'isbn13': '9780964729230'}, {'isbn10': '160941411X', 'isbn13': '9781609414115'}, {'isbn10': '1455567604', 'isbn13': '9781455567607'}, {'isbn10': '1455567612', 'isbn13': '9781455567614'}, {'isbn10': '1455568295', 'isbn13': '9781455568291'}, {'isbn10': '0964729296', 'isbn13': '9780964729292'}, {'isbn10': '1455523038', 'isbn13': '9781455523030'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Shack-Tragedy-Confronts-Eternity/dp/0964729237?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780964729230?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780964729230'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BSHACK%2FWilliam%2BP%2BYoung%2F9780964729230'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780964729230'}]",nyt://book/c9cb9adc-13c2-5c9d-9c62-50d81c85e162
5,3,11,0,0,0765388111,9780765388117,Forge Books,A canine narrator undergoes a series of reincarnations.,0.00,A DOG'S PURPOSE,W Bruce Cameron,by W. Bruce Cameron,,https://storage.googleapis.com/du-prd/books/images/9780765330345.jpg,330,494,https://www.amazon.com/Dogs-Purpose-Novel-Humans/dp/0765330342?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0765326264', 'isbn13': '9780765326263'}, {'isbn10': '0765330342', 'isbn13': '9780765330345'}, {'isbn10': '0765388111', 'isbn13': '9780765388117'}, {'isbn10': '0765388103', 'isbn13': '9780765388100'}, {'isbn10': '1429960272', 'isbn13': '9781429960274'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Dogs-Purpose-Novel-Humans/dp/0765330342?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780765388117?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780765388117'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BDOG%2527S%2BPURPOSE%2FW%2BBruce%2BCameron%2F9780765388117'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780765388117'}]",nyt://book/2066bcfb-3b43-5444-89c0-b704a5e0f1be
6,4,39,0,0,1476738025,9781476738024,Washington Square,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.,0.00,A MAN CALLED OVE,Fredrik Backman,by Fredrik Backman,,https://storage.googleapis.com/du-prd/books/images/9781476738024.jpg,318,495,http://www.amazon.com/Man-Called-Ove-Novel/dp/1476738025?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1476738025', 'isbn13': '9781476738024'}, {'isbn10': '1476738017', 'isbn13': '9781476738017'}, {'isbn10': '1594139830', 'isbn13': '9781594139833'}, {'isbn10': '1410472922', 'isbn13': '9781410472922'}, {'isbn10': '166801081X', 'isbn13': '9781668010815'}, {'isbn10': '1797149490', 'isbn13': '9781797149493'}, {'isbn10': '1797108255', 'isbn13': '9781797108254'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Man-Called-Ove-Novel/dp/1476738025?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781476738024?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476738024'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BMAN%2BCALLED%2BOVE%2FFredrik%2BBackman%2F9781476738024'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781476738024'}]",nyt://book/ebb99427-993b-507b-a5c4-3407ac45d889
7,1,2,0,0,1250123119,9781250123114,St. Martin's,"Lt. Eve Dallas of the N.Y.P.D. investigates a fatal home invasion. By Nora Roberts, writing pseudonymously.",0.00,ECHOES IN DEATH,J D Robb,by J. D. Robb,,https://storage.googleapis.com/du-prd/books/images/9781250123145.jpg,326,495,https://www.amazon.com/Echoes-Death-Dallas-Novel-Book-ebook/dp/B01GNYVS52?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1250123119', 'isbn13': '9781250123114'}, {'isbn10': '1250123143', 'isbn13': '9781250123145'}, {'isbn10': '1250123135', 'isbn13': '9781250123138'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Echoes-Death-Dallas-Novel-Book-ebook/dp/B01GNYVS52?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250123114?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250123114'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FECHOES%2BIN%2BDEATH%2FJ%2BD%2BRobb%2F9781250123114'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781250123114'}]",nyt://book/cffb8e11-203a-5028-a003-79d733db97cb
8,11,27,0,0,0698138635,9780698138636,Berkley,"Who will end up dead, and how, when three mothers with children in the same school become friends?",0.00,BIG LITTLE LIES,Liane Moriarty,by Liane Moriarty,,https://storage.googleapis.com/du-prd/books/images/9780698138636.jpg,128,193,http://www.amazon.com/Big-Little-Lies-Liane-Moriarty-ebook/dp/B00HDMMISA?tag=thenewyorktim-20,,https://www.nytimes.com/2014/07/25/books/in-big-little-lies-liane-moriarty-finds-new-complications.html,,,,"[{'isbn10': '0399167064', 'isbn13': '9780399167065'}, {'isbn10': '0698138635', 'isbn13': '9780698138636'}, {'isbn10': '1410472035', 'isbn13': '9781410472038'}, {'isbn10': '0425274861', 'isbn13': '9780425274866'}, {'isbn10': '1594139067', 'isbn13': '9781594139062'}, {'isbn10': '0399587195', 'isbn13': '9780399587191'}, {'isbn10': '0399587209', 'isbn13': '9780399587207'}, {'isbn10': '1312731796', 'isbn13': '9781312731790'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Big-Little-Lies-Liane-Moriarty-ebook/dp/B00HDMMISA?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780698138636?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780698138636'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBIG%2BLITTLE%2BLIES%2FLiane%2BMoriarty%2F9780698138636'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780698138636'}]",nyt://book/d93b59b0-77a2-5524-8313-5cd0a0a3c5da
9,2,2,0,0,039360909X,9780393609097,Norton,A retelling of Norse folklore.,0.00,NORSE MYTHOLOGY,Neil Gaiman,by Neil Gaiman,,https://storage.googleapis.com/du-prd/books/images/9780393609097.jpg,328,495,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=thenewyorktim-20,,https://www.nytimes.com/2017/05/15/books/review/norse-mythology-neil-gaiman-audio.html,,,,"[{'isbn10': '039360909X', 'isbn13': '9780393609097'}, {'isbn10': '0393609103', 'isbn13': '9780393609103'}, {'isbn10': '0393356183', 'isbn13': '9780393356182'}, {'isbn10': '006266364X', 'isbn13': '9780062663641'}, {'isbn10': '0062663631', 'isbn13': '9780062663634'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780393609097?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780393609097'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNORSE%2BMYTHOLOGY%2FNeil%2BGaiman%2F9780393609097'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780393609097'}]",nyt://book/8be68f5c-23d7-5f95-80b9-084754387233
10,0,1,0,0,0698406850,9780698406858,Berkley,"Court Gentry, now working for the C.I.A., pursues a Chinese hacker who is on the run.",0.00,GUNMETAL GRAY,Mark Greaney,by Mark Greaney,,https://storage.googleapis.com/du-prd/books/images/9780698406858.jpg,327,495,https://www.amazon.com/Gunmetal-Gray-Man-Mark-Greaney-ebook/dp/B01FEY5ETS?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0425282856', 'isbn13': '9780425282854'}, {'isbn10': '0698406850', 'isbn13': '9780698406858'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Gunmetal-Gray-Man-Mark-Greaney-ebook/dp/B01FEY5ETS?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780698406858?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780698406858'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FGUNMETAL%2BGRAY%2FMark%2BGreaney%2F9780698406858'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780698406858'}]",nyt://book/81071399-b185-53b2-804a-4f44e88b5028
11,10,66,0,0,0525431888,9780525431886,Vintage,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought.",0.00,FIFTY SHADES DARKER,E L James,by E. L. James,,https://storage.googleapis.com/du-prd/books/images/9780345803498.jpg,328,495,http://www.amazon.com/Fifty-Shades-Darker-E-James/dp/0345803493?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1612130593', 'isbn13': '9781612130590'}, {'isbn10': '1612130585', 'isbn13': '9781612130583'}, {'isbn10': '0345803493', 'isbn13': '9780345803498'}, {'isbn10': '1448149460', 'isbn13': '9781448149469'}, {'isbn10': '0385363133', 'isbn13': '9780385363136'}, {'isbn10': '0099579928', 'isbn13': '9780099579922'}, {'isbn10': '0385537689', 'isbn13': '9780385537681'}, {'isbn10': '0606264485', 'isbn13': '9780606264488'}, {'isbn10': '0525431888', 'isbn13': '9780525431886'}, {'isbn10': '0525434860', 'isbn13': '9780525434863'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Fifty-Shades-Darker-E-James/dp/0345803493?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525431886?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525431886'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFIFTY%2BSHADES%2BDARKER%2FE%2BL%2BJames%2F9780525431886'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780525431886'}]",nyt://book/4e8c14a6-72e8-5383-b655-e4307dd6dbab
12,7,3,0,0,0698411439,9780698411432,Dutton,"The former F.B.I. profiler Pierce Quincy and his partner, Rainie Conner, foster a girl whose older brother murdered their drunken father. Now, eight years later, he has killed again.",0.00,RIGHT BEHIND YOU,Lisa Gardner,by Lisa Gardner,,https://storage.googleapis.com/du-prd/books/images/9780698411432.jpg,328,495,https://www.amazon.com/Right-Behind-You-Lisa-Gardner-ebook/dp/B01FEY5D8U?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0525954589', 'isbn13': '9780525954583'}, {'isbn10': '0698411439', 'isbn13': '9780698411432'}, {'isbn10': '1524756148', 'isbn13': '9781524756147'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Right-Behind-You-Lisa-Gardner-ebook/dp/B01FEY5D8U?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780698411432?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780698411432'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FRIGHT%2BBEHIND%2BYOU%2FLisa%2BGardner%2F9780698411432'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780698411432'}]",nyt://book/5b54b4b9-0c42-5093-b971-b95634da57c9
13,6,2,0,0,038549081X,9780385490818,Houghton Mifflin Harcourt,"In the Republic of Gilead's dystopian future, men and women perform the services assigned to them. Originally published in 1986.",0.00,THE HANDMAID'S TALE,Margaret Atwood,by Margaret Atwood,,https://storage.googleapis.com/du-prd/books/images/9780547345666.jpg,330,485,https://www.amazon.com/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS?tag=thenewyorktim-20,,,,https://www.nytimes.com/1986/02/09/books/no-headline-423986.html,,"[{'isbn10': '038549081X', 'isbn13': '9780385490818'}, {'isbn10': '0547345666', 'isbn13': '9780547345666'}, {'isbn10': '0307264602', 'isbn13': '9780307264602'}, {'isbn10': '1432838482', 'isbn13': '9781432838485'}, {'isbn10': '1603932313', 'isbn13': '9781603932318'}, {'isbn10': '1480560103', 'isbn13': '9781480560109'}, {'isbn10': '1491519118', 'isbn13': '9781491519110'}, {'isbn10': '1543661904', 'isbn13': '9781543661903'}, {'isbn10': '198489966X', 'isbn13': '9780525435006'}, {'isbn10': '0063347628', 'isbn13': '9780063347625'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385490818?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385490818'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BHANDMAID%2527S%2BTALE%2FMargaret%2BAtwood%2F9780385490818'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780385490818'}]",nyt://book/0868766f-b674-50f9-a665-b1c5f0f17d13
14,12,10,0,0,144947425X,9781449474256,Andrews McMeel,Poetic approaches to surviving adversity and loss.,0.00,MILK AND HONEY,Rupi Kaur,by Rupi Kaur,,https://storage.googleapis.com/du-prd/books/images/9781449474256.jpg,319,495,http://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?tag=thenewyorktim-20,,,,,,"[{'isbn10': '144947425X', 'isbn13': '9781449474256'}, {'isbn10': '1449495761', 'isbn13': '9781449495763'}, {'isbn10': '1449496369', 'isbn13': '9781449496364'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781449474256?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781449474256'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FMILK%2BAND%2BHONEY%2FRupi%2BKaur%2F9781449474256'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781449474256'}]",nyt://book/3c19e588-13b6-5718-9881-2c70e98bbcbf
15,8,5,0,0,0316433179,9780316433174,"Little, Brown","Harriet Blue, a Sydney sex crimes detective, is sent to the outback (the never never) to investigate the disappearance of a mine worker. The first in a new series.",0.00,NEVER NEVER,James Patterson and Candice Fox,by James Patterson and Candice Fox,,https://storage.googleapis.com/du-prd/books/images/9780316434720.jpg,324,495,https://www.amazon.com/Never-James-Patterson-ebook/dp/B01LZANZGP?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0316433179', 'isbn13': '9780316433174'}, {'isbn10': '0316434728', 'isbn13': '9780316434720'}, {'isbn10': '0316434884', 'isbn13': '9780316434881'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Never-James-Patterson-ebook/dp/B01LZANZGP?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316433174?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316433174'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNEVER%2BNEVER%2FJames%2BPatterson%2Band%2BCandice%2BFox%2F9780316433174'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780316433174'}]",nyt://book/da74a9f2-2d88-5526-ba16-0460a1076f47
1,1,2,0,0,0312577230,9780312577230,St. Martin's,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",0.00,THE GREAT ALONE,Kristin Hannah,by Kristin Hannah,,https://storage.googleapis.com/du-prd/books/images/9781250165619.jpg,326,495,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah-ebook/dp/B06Y5WRS2C?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0312577230', 'isbn13': '9780312577230'}, {'isbn10': '125016561X', 'isbn13': '9781250165619'}, {'isbn10': '1683247000', 'isbn13': '9781683247005'}, {'isbn10': '1427212686', 'isbn13': '9781427212689'}, {'isbn10': '1718849532', 'isbn13': '9781718849532'}, {'isbn10': '1250229537', 'isbn13': '9781250229533'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah-ebook/dp/B06Y5WRS2C?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780312577230?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780312577230'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BGREAT%2BALONE%2FKristin%2BHannah%2F9780312577230'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780312577230'}]",nyt://book/49bec360-bc82-5df4-98fd-bf91a38f2fbe
2,0,1,0,0,None,9781947222120,Waterhouse,The ninth book in the Steel Brothers Saga.,0.00,UNRAVELED,Helen Hardt,by Helen Hardt,,https://storage.googleapis.com/du-prd/books/images/9781947222120.jpg,330,495,https://www.amazon.com/Unraveled-Steel-Brothers-Saga-Book-ebook/dp/B072KV91RR?tag=thenewyorktim-20,,,,,,"[{'isbn10': '194389325X', 'isbn13': '9781943893256'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Unraveled-Steel-Brothers-Saga-Book-ebook/dp/B072KV91RR?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781947222120?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781947222120'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FUNRAVELED%2FHelen%2BHardt%2F9781947222120'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781947222120'}]",nyt://book/b8cd5421-5f9b-549d-964c-9b99ee79bfe2
3,0,1,0,0,0345541472,9780345541475,Ballantine,Homicide detective Milo Sturgis enlists the psychologist Alex Delaware to help solve a John Doe case.,0.00,NIGHT MOVES,Jonathan Kellerman,by Jonathan Kellerman,,https://storage.googleapis.com/du-prd/books/images/9780345541475.jpg,326,495,https://www.amazon.com/Night-Moves-Alex-Delaware-Novel-ebook/dp/B072HYWT73?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0345541464', 'isbn13': '9780345541468'}, {'isbn10': '0345541472', 'isbn13': '9780345541475'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Night-Moves-Alex-Delaware-Novel-ebook/dp/B072HYWT73?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780345541475?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780345541475'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNIGHT%2BMOVES%2FJonathan%2BKellerman%2F9780345541475'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780345541475'}]",nyt://book/47efbfcd-c9b3-5bde-adce-db0ebc6e64d5
4,2,2,0,0,1616207604,9781616207601,Algonquin,A newlywed couple's relationship is tested when the husband is sentenced to 12 years in prison.,0.00,AN AMERICAN MARRIAGE,Tayari Jones,by Tayari Jones,,https://storage.googleapis.com/du-prd/books/images/9781616207601.jpg,330,495,https://www.amazon.com/American-Marriage-Novel-Oprahs-Selection-ebook/dp/B01NCUXEFR?tag=thenewyorktim-20,,https://www.nytimes.com/2018/02/06/books/review/american-marriage-tayari-jones.html,,,,"[{'isbn10': '1616201347', 'isbn13': '9781616201340'}, {'isbn10': '1616208775', 'isbn13': '9781616208776'}, {'isbn10': '1616207604', 'isbn13': '9781616207601'}, {'isbn10': '1681688344', 'isbn13': '9781681688343'}, {'isbn10': '1681688336', 'isbn13': '9781681688336'}, {'isbn10': '1616208686', 'isbn13': '9781616208684'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/American-Marriage-Novel-Oprahs-Selection-ebook/dp/B01NCUXEFR?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781616207601?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781616207601'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FAN%2BAMERICAN%2BMARRIAGE%2FTayari%2BJones%2F9781616207601'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781616207601'}]",nyt://book/60d2855a-14d8-5dd1-81d8-40bdb6f05d7c
5,4,7,0,0,0062678418,9780062678416,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,0.00,THE WOMAN IN THE WINDOW,A.J. Finn,by A.J. Finn,,https://storage.googleapis.com/du-prd/books/images/9780062678416.jpg,330,495,https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0062678418', 'isbn13': '9780062678416'}, {'isbn10': '0062678442', 'isbn13': '9780062678447'}, {'isbn10': '0062678434', 'isbn13': '9780062678430'}, {'isbn10': '0062801953', 'isbn13': '9780062801951'}, {'isbn10': '0062678426', 'isbn13': '9780062678423'}, {'isbn10': '0062905082', 'isbn13': '9780062905086'}, {'isbn10': '0062906135', 'isbn13': '9780062906137'}, {'isbn10': '0062791451', 'isbn13': '9780062791450'}, {'isbn10': '0062896210', 'isbn13': '9780062896216'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062678416?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062678416'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BWOMAN%2BIN%2BTHE%2BWINDOW%2FA.J.%2BFinn%2F9780062678416'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780062678416'}]",nyt://book/31eb1c8b-ecb9-57af-ac3c-c3caf9ca690b
